,Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
2536,"Exposition Terres de Grand Feu, Miró-Artigas",Joan Miró,Spanish,1893.0,1983.0,Male,1956,Architecture & Design
2537,Knight Interlude X from Knight Interlude,Ernesto Caivano,Spanish,1972.0,,Male,2005,Prints & Illustrated Books
2538,Crystal Figure,Max Weber,American,1881.0,1961.0,Male,1911,Drawings
2539,The Group,Ibrahim El-Salahi,Sudanese,1930.0,,Male,2016,Prints & Illustrated Books
2540,Untitled,Unknown,Nationality Unknown,,,Gender Unknown,1900,Photography
2541,Two Elements Under Stress,Wolfgang Gäfgen,German,1936.0,,Male,1976,Prints & Illustrated Books
2542,Plate for The Sun Sinks Down,Henry Pearson,American,1914.0,2006.0,Male,1963,Prints & Illustrated Books
2543,Headpiece (page 386) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,French,1870.0,1943.0,Male,1900,Prints & Illustrated Books
2544,Untitled,Cheyney Thompson,American,1975.0,,Male,2003,Drawings
2545,UT (Cigarettes and Ashtrays),Glenn Sorensen,Australian,1968.0,,Male,2001,Drawings
2546,Untitled,Horace M. Engle,American,1861.0,1949.0,Male,1900,Photography
2547,King of Sex,Richard Kern,American,1954.0,,Male,1986,Film
2548,Hôtel de Roquelaure. Boulevard Saint-Germain 246,Eugène Atget,French,1857.0,1927.0,Male,1900,Photography
2549,Fish,Mabel Dwight,American,1876.0,1955.0,Female,1928,Prints & Illustrated Books
2550,Untitled,Unknown,Nationality Unknown,,,Gender Unknown,1900,Photography
2551,Untitled (Endless Column),Constantin Brancusi,French,1876.0,1957.0,Male,1937,Photography
2552,Vetro Soffiato Vase,Lino Sabattini,Italian,1925.0,,Male,1973,Architecture & Design
2553,In-text plate (folio 24) from CENT COMPTINES,Pierre Roy,French,1880.0,1950.0,Male,1900,Prints & Illustrated Books
2554,"Ancien Chateau de Villiers, 65 rue de Villiers. Neuilly-sur-Seine",Eugène Atget,French,1857.0,1927.0,Male,1914,Photography
2555,Colored Rhythm: Study for the Film,Léopold Survage,French,1879.0,1968.0,Male,1913,Drawings
2556,Platter (no. 187x),James Prestini,American,1908.0,1993.0,Male,1943,Architecture & Design
2557,Starting Point and Paths,Franz Erhard Walther,German,1939.0,,Male,1969,Painting & Sculpture
2558,Buying a House,William Wegman,American,1943.0,,Male,1900,Media and Performance Art
2559,Bowl,Edward Moulthrop,American,1916.0,,Male,1981,Architecture & Design
2560,"Ice-Cream Barrow, ""An Altercation""",Paul Martin,British,1864.0,1944.0,Male,1900,Photography
2561,SNARED,Robert E. Marx,American,,,Male,1953,Prints & Illustrated Books
2562,"A Mother and Her Daughters, West Bank/Palestine",Rosalind Fox Solomon,American,1930.0,,Female,2011,Photography
2563,Rosso Guzzi from Insicuro Noncurante,Alighiero Boetti,Italian,1940.0,1994.0,Male,1900,Prints & Illustrated Books
2564,Moulin Rouge,Ilse Bing,American,1899.0,1998.0,Female,1931,Photography
2565,The Scream,Nicholas Africano,American,1948.0,,Male,1976,Painting & Sculpture
2566,San Benito from the Steamer,Eadweard J. Muybridge,American,1830.0,1904.0,Male,1875,Photography
2567,"Christmas Constellation, Brussels, Belgium",Ming Smith,American,,,Female,1978,Photography
2568,Cabinet,Benedikt Rohner,Swiss,,,Male,1956,Architecture & Design
2569,Plate (page 51) from VIEUX PAYS,Raoul Ubac,Belgian,1910.0,1985.0,Male,1967,Prints & Illustrated Books
2570,Untitled,Gego (Gertrud Goldschmidt),Venezuelan,1912.0,1994.0,Female,1963,Prints & Illustrated Books
2571,Untitled,Grisha Bruskin,Russian,1945.0,,Male,1988,Prints & Illustrated Books
2572,Untitled,Ján Mančuška,Czech,1972.0,2011.0,Male,2003,Drawings
2573,Passionate Expanse of the Law,Philip Corner,American,1933.0,,Male,1960,Prints & Illustrated Books
2574,"CITIES I (plate, page 93) from LES ILLUMINATIONS",Fernand Léger,French,1881.0,1955.0,Male,1900,Prints & Illustrated Books
2575,Headpiece (page 233) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,French,1870.0,1943.0,Male,1900,Prints & Illustrated Books
2576,Folio 12 verso from Igra v adu (A Game in Hell),Olga Rozanova,Russian,1886.0,1918.0,Female,1914,Prints & Illustrated Books
2577,Tattoo Print,Kiki Smith,American,1954.0,,Female,1995,Prints & Illustrated Books
2578,"GOAT (tailpiece, page 56) from DAPHNIS AND CHLOE",Aristide Maillol,French,1861.0,1944.0,Male,1937,Prints & Illustrated Books
2579,Charlotte's Gaze,Dennis Kardon,American,1950.0,,Male,1985,Prints & Illustrated Books
2580,ROPE,Peter Mussfeldt,Ecuadorian,1938.0,,Male,1965,Prints & Illustrated Books
2581,11th Element Black for VENTRILOQUIST,Jasper Johns,American,1930.0,,Male,1986,Prints & Illustrated Books
2582,(Untitled),Patrick Hughes,British,,,Male,1964,Prints & Illustrated Books
2583,New York Waterfront,Stuart Davis,American,1892.0,1964.0,Male,1938,Drawings
2584,Tutugri,Jean-Charles Blais,French,1956.0,,Male,1996,Prints & Illustrated Books
2585,The Blue Nile,Palmer Hayden,American,1890.0,1973.0,Male,1964,Drawings
2586,"Duplicate of in-text plate from page 85 (supplementary suite, plate 10) from LES OLYMPIQUES",Charles Despiau,French,1874.0,1946.0,Male,1943,Prints & Illustrated Books
2587,Plate (folio 10) from MADRIGAUX,Raoul Dufy,French,1877.0,1953.0,Male,1920,Prints & Illustrated Books
2588,"Signal-Anzeiger, Signal-Schriftprobe No. 277",Herbert Bayer,American,1900.0,1985.0,Male,1929,Architecture & Design
2589,Colored Rhythm: Study for the Film,Léopold Survage,French,1879.0,1968.0,Male,1913,Drawings
2590,Erotic Drawing (Dessin érotique),Jean Dubuffet,French,1901.0,1985.0,Male,1949,Drawings
2591,Babe Rainbow,Peter Blake,British,1932.0,,Male,1968,Prints & Illustrated Books
2592,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Interior perspective",Louis I. Kahn,American,1901.0,1974.0,Male,1963,Architecture & Design
2593,Studio Visit (for Parkett no. 33),Rosemarie Trockel,German,1952.0,,Female,1992,Prints & Illustrated Books
2594,Upside Down Ada,Alex Katz,American,1927.0,,Male,1965,Painting & Sculpture
2595,Mauser Stahlrohrmöbel,Marcel Breuer,American,1902.0,1981.0,Male,1930,Architecture & Design
2596,Festons und Dekorative Gruppen,Unknown,Nationality Unknown,,,Gender Unknown,1893,Photography
2597,Tailpiece (page 77) from FLORILÈGE DES AMOURS,Henri Matisse,French,1869.0,1954.0,Male,1900,Prints & Illustrated Books
2598,"Space Composition, II",Johannes Itten,Swiss,1888.0,1967.0,Male,1944,Painting & Sculpture
2599,Double page in-text plate (pages 28 and 29) from A TRAVEL BOOK,Fred Martin,American,1927.0,,Male,1976,Prints & Illustrated Books
2600,Petit marchand,Eugène Atget,French,1857.0,1927.0,Male,1900,Photography
2601,"Duplicate of plate from folio 95 (supplementary suite, plate 86) from LA VILLE",Frans Masereel,Belgian,1889.0,1972.0,Male,1925,Prints & Illustrated Books
2602,Plate (page 123) from LES PETITES FLEURS,Émile Bernard,French,1868.0,1941.0,Male,1928,Prints & Illustrated Books
2603,In-text plate (page 50) from PARLER SEUL,Joan Miró,Spanish,1893.0,1983.0,Male,1900,Prints & Illustrated Books
2604,"Pretty teachings (Bellos consejos) (plate 15, folio 15) from Los Caprichos",Francisco de Goya,Spanish,1746.0,1828.0,Male,1900,Prints & Illustrated Books
2605,Classic Figure No. 2,Lester F. Johnson,American,1919.0,2010.0,Male,1966,Prints & Illustrated Books
2606,From the series 16 Variations of 2 Horizontal Lines,Fred Sandback,American,1943.0,2003.0,Male,1973,Drawings
2607,Plate (page 30) from CIRQUE,Fernand Léger,French,1881.0,1955.0,Male,1950,Prints & Illustrated Books
2608,BIRDLOVER,Adja Yunkers,American,1900.0,1983.0,Male,1954,Prints & Illustrated Books
2609,PARTERRE DU LOUVRE (GROUPE),Eugène Atget,French,1857.0,1927.0,Male,1911,Photography
2610,"Caracas, Venezuela",Leo Matiz,Colombian,1917.0,1998.0,Male,1958,Photography
2611,Mother India: Transactions in the Construction of Pain,Nalini Malani,Indian,1946.0,,Female,2005,Media and Performance Art
2612,"Gericke House project, Wannsee-Berlin, Germany (Street and terrace elevations)",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1932,Architecture & Design
2613,Tailpiece (page 26) from FABLES,Thomas Bewick,British,1753.0,1828.0,Male,1818,Prints & Illustrated Books
2614,Tumbler,Umberto Nason,Italian,1889.0,1964.0,Male,1954,Architecture & Design
2615,"My Mother Posing for Me, Palm Springs",Larry Sultan,American,1946.0,2009.0,Male,1984,Photography
2616,Landscape Couple (I and II),Sally Osborn,Scottish,1961.0,,Female,2003,Drawings
2617,Low Tide Wandering No. 12 (Wattwanderung No. 12) from Low Tide Wandering (Wattwanderung),Thomas Schütte,German,1954.0,,Male,2001,Prints & Illustrated Books
2618,Slowly Toward the North,Yves Tanguy,American,1900.0,1955.0,Male,1942,Painting & Sculpture
2619,A Hand of Bananas,Wyndham Lewis,British,1882.0,1957.0,Male,1938,Drawings
2620,Untitled,Marc Brandenburg,German,1965.0,,Male,2003,Drawings
2621,Project Series: Lee Lozano,Ben Kinmont,American,1963.0,,Male,1998,Prints & Illustrated Books
2622,Study for Two Exact Rules on a Diminishing Floor Plane,Sylvia Plimack Mangold,American,1938.0,,Female,1976,Drawings
2623,Memory: Past,Howardena Pindell,American,1943.0,,Female,1900,Painting & Sculpture
2624,Untitled,Walker Evans,American,1903.0,1975.0,Male,1947,Photography
2625,Ovals #1 textile,Joel Robinson,American,1923.0,,Male,1900,Architecture & Design
2626,"Catalogue Simon Gouverneur (American, 1934-1990) solo exhibition",Gerd Leufert,Venezuelan,1914.0,1998.0,Male,1969,Architecture & Design
2627,In-text plate (folio 18) from OLYMPIA COUPABLE (HISTOIRE VRAIE),Hélène Delprat,German,1957.0,,Female,1993,Prints & Illustrated Books
2628,Paul Shaw letterhead (Letter to Elaine Lustig Cohen),Paul Shaw,American,,,Male,2004,Architecture & Design
2629,Colored Rhythm: Study for the Film,Léopold Survage,French,1879.0,1968.0,Male,1913,Drawings
2630,Untitled,Harvey Tulcensky,American,1948.0,,Male,1999,Drawings
2631,Twosome,Louise Bourgeois,American,1911.0,2010.0,Female,2002,Prints & Illustrated Books
2632,Untitled,Walker Evans,American,1903.0,1975.0,Male,1935,Photography
2633,Happily I am Singing,Lee Mullican,American,1919.0,1998.0,Male,1950,Drawings
2634,Atlanta,Harry Callahan,American,1912.0,1999.0,Male,1984,Photography
2635,No Title (A Final Word...),Raymond Pettibon,American,1957.0,,Male,1993,Drawings
2636,Swiss Officers' Knife Champion (no. 5012),Karl Elsener,Swiss,1860.0,1918.0,Gender Unknown,1968,Architecture & Design
2637,"THE FOX AND THE INDIAN CHICKENS (plate 100, 2nd supplementary suite) from FABLES",Marc Chagall,French,1887.0,1985.0,Male,1900,Prints & Illustrated Books
2638,The Ruins of Langemarck (Die Trümmer von Langemarck) from The War (Der Krieg),Otto Dix,German,1891.0,1969.0,Male,1924,Prints & Illustrated Books
2639,Untitled,Robert Michel,German,1897.0,1983.0,Male,1924,Drawings
2640,Optimistic Boxes 1-5,Robert Filliou,French,1926.0,1987.0,Male,1900,Prints & Illustrated Books
2641,Untitled (I Forgot...),Jack Pierson,American,1960.0,,Male,1991,Drawings
2642,"Remodelling of Modlinger House, Wannsee, Berlin (Plan of terrace)",Lilly Reich,German,1885.0,1947.0,Female,1900,Architecture & Design
2643,Poster of the French National Railroad,Album-miscellaneous,Various,,,Gender Unknown,1900,Architecture & Design
2644,Untitled (Bed),Rachel Whiteread,British,1963.0,,Female,1991,Painting & Sculpture
2645,EASTER MORNING,Bruce Conner,American,1933.0,2008.0,Male,2008,Media and Performance Art
2646,Memphis textiles,Gloria della Vittoria,Italian,,,Female,1981,Architecture & Design
2647,Untitled from an untitled portfolio,Mateo Manaure,Venezuelan,1926.0,2018.0,Male,1969,Prints & Illustrated Books
2648,Kansas City Princess,William Keighley,American,1889.0,1984.0,Male,1934,Film
2649,Plate (folio 3) from LA VITTORIA,Jean Tinguely,Swiss,1925.0,1991.0,Male,1900,Prints & Illustrated Books
2650,Father and His Three Sons - The Bartos Family (Private Hungary 1),Péter Forgács,Hungarian,1950.0,,Male,1988,Media and Performance Art
2651,Color separation for Texturology (Texturologie) from the portfolio Spaces and Places (Aires et lieux) from Phenomena (Les Phénomènes),Jean Dubuffet,French,1901.0,1985.0,Male,1966,Prints & Illustrated Books
2652,Tailpiece (page 31) from HOMMAGE À RIMBAUD,Roger Vieillard,French,1907.0,1989.0,Male,1945,Prints & Illustrated Books
2653,Greece Summer,Brice Marden,American,1938.0,,Male,1974,Drawings
2654,"German People - German Work Exhibit, Berlin, Germany, Display case. Elevation and plan.",Lilly Reich,German,1885.0,1947.0,Female,1934,Architecture & Design
2655,"Merz, no. 21. Erstes Veilchenheft (First Violet Issue)",Kurt Schwitters,German,1887.0,1948.0,Male,1931,Architecture & Design
2656,Untitled,Unknown,Nationality Unknown,,,Gender Unknown,1940,Photography
2657,Musica Viva,Walter Tafelmaier,German,1935.0,,Male,1965,Architecture & Design
2658,Untitled from Favorite Objects,Christian Boltanski,French,1944.0,,Male,1998,Prints & Illustrated Books
